Area code,Area,Year,Series,Value,Source
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),4524.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),7145.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),3980.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),4074.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),3975.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2018,Emissions (thousand metric tons of carbon dioxide),4525.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2019,Emissions (thousand metric tons of carbon dioxide),4200.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2020,Emissions (thousand metric tons of carbon dioxide),3512.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,1975,Emissions per capita (metric tons of carbon dioxide),1.8,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,1985,Emissions per capita (metric tons of carbon dioxide),2.3,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2005,Emissions per capita (metric tons of carbon dioxide),1.3,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2010,Emissions per capita (metric tons of carbon dioxide),1.4,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2015,Emissions per capita (metric tons of carbon dioxide),1.3,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2018,Emissions per capita (metric tons of carbon dioxide),1.5,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2019,Emissions per capita (metric tons of carbon dioxide),1.4,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
8,Albania,2020,Emissions per capita (metric tons of carbon dioxide),1.2,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),13691.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),42446.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),78045.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),96452.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),131690.0,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
