Area code,Area,Year,Series,Value,Source
1,"Total, all countries or areas",1985,Net official development assistance received: Bilateral  (millions of US dollars),25604.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",1995,Net official development assistance received: Bilateral  (millions of US dollars),46875.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2005,Net official development assistance received: Bilateral  (millions of US dollars),81833.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2010,Net official development assistance received: Bilateral  (millions of US dollars),92131.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2015,Net official development assistance received: Bilateral  (millions of US dollars),111378.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2019,Net official development assistance received: Bilateral  (millions of US dollars),122666.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2020,Net official development assistance received: Bilateral  (millions of US dollars),150534.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2021,Net official development assistance received: Bilateral  (millions of US dollars),151655.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",1985,Net official development assistance received: Multilateral (millions of US dollars),5920.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",1995,Net official development assistance received: Multilateral (millions of US dollars),11004.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2005,Net official development assistance received: Multilateral (millions of US dollars),25620.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2010,Net official development assistance received: Multilateral (millions of US dollars),37133.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2015,Net official development assistance received: Multilateral (millions of US dollars),35368.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2019,Net official development assistance received: Multilateral (millions of US dollars),40826.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2020,Net official development assistance received: Multilateral (millions of US dollars),44675.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2021,Net official development assistance received: Multilateral (millions of US dollars),52038.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",1985,Net official development assistance received: Total (millions of US dollars),31524.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",1995,Net official development assistance received: Total (millions of US dollars),57879.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2005,Net official development assistance received: Total (millions of US dollars),107452.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2010,Net official development assistance received: Total (millions of US dollars),129264.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2015,Net official development assistance received: Total (millions of US dollars),146745.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2019,Net official development assistance received: Total (millions of US dollars),163493.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2020,Net official development assistance received: Total (millions of US dollars),195210.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2021,Net official development assistance received: Total (millions of US dollars),203693.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",1985,Net official development assistance received: Total (as % GNI),1.3,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",1995,Net official development assistance received: Total (as % GNI),1.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2005,Net official development assistance received: Total (as % GNI),1.1,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2010,Net official development assistance received: Total (as % GNI),0.7,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2015,Net official development assistance received: Total (as % GNI),0.6,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2019,Net official development assistance received: Total (as % GNI),0.6,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2020,Net official development assistance received: Total (as % GNI),0.7,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
1,"Total, all countries or areas",2021,Net official development assistance received: Total (as % GNI),0.6,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),10076.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),16828.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),24081.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),30087.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),33963.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2019,Net official development assistance received: Bilateral  (millions of US dollars),37747.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2020,Net official development assistance received: Bilateral  (millions of US dollars),51274.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2021,Net official development assistance received: Bilateral  (millions of US dollars),52622.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),2247.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),5015.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),11740.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),17732.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2015,Net official development assistance received: Multilateral (millions of US dollars),16137.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2019,Net official development assistance received: Multilateral (millions of US dollars),19921.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2020,Net official development assistance received: Multilateral (millions of US dollars),22349.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2021,Net official development assistance received: Multilateral (millions of US dollars),23015.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,1985,Net official development assistance received: Total (millions of US dollars),12323.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,1995,Net official development assistance received: Total (millions of US dollars),21843.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2005,Net official development assistance received: Total (millions of US dollars),35821.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2010,Net official development assistance received: Total (millions of US dollars),47820.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2015,Net official development assistance received: Total (millions of US dollars),50100.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2019,Net official development assistance received: Total (millions of US dollars),57668.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2020,Net official development assistance received: Total (millions of US dollars),73623.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2021,Net official development assistance received: Total (millions of US dollars),75637.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,1985,Net official development assistance received: Total (as % GNI),3.6,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,1995,Net official development assistance received: Total (as % GNI),4.3,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2005,Net official development assistance received: Total (as % GNI),3.3,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2010,Net official development assistance received: Total (as % GNI),2.5,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2015,Net official development assistance received: Total (as % GNI),2.2,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2019,Net official development assistance received: Total (as % GNI),2.4,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2020,Net official development assistance received: Total (as % GNI),3.1,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
2,Africa,2021,Net official development assistance received: Total (as % GNI),2.9,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),2849.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),2703.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),1705.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),1844.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),3779.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2019,Net official development assistance received: Bilateral  (millions of US dollars),2117.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2020,Net official development assistance received: Bilateral  (millions of US dollars),3097.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2021,Net official development assistance received: Bilateral  (millions of US dollars),7771.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),142.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),277.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),980.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),823.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
