Area code,Area,Year,Series,System of trade,Value,Source
1,"Total, all countries or areas",1995,Imports CIF (millions of US dollars),,5099057,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2005,Imports CIF (millions of US dollars),,10577013,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2010,Imports CIF (millions of US dollars),,15275115,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2015,Imports CIF (millions of US dollars),,16482346,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2020,Imports CIF (millions of US dollars),,17598001,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2021,Imports CIF (millions of US dollars),,22226837,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2022,Imports CIF (millions of US dollars),,25244192,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",1995,Exports FOB (millions of US dollars),,5050238,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2005,Exports FOB (millions of US dollars),,10373445,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2010,Exports FOB (millions of US dollars),,15102218,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2015,Exports FOB (millions of US dollars),,16384279,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2020,Exports FOB (millions of US dollars),,17351681,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2021,Exports FOB (millions of US dollars),,21932797,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2022,Exports FOB (millions of US dollars),,24553001,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",1995,Balance imports/exports (millions of US dollars),,-48819,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2005,Balance imports/exports (millions of US dollars),,-203568,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2010,Balance imports/exports (millions of US dollars),,-172897,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2015,Balance imports/exports (millions of US dollars),,-98067,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2020,Balance imports/exports (millions of US dollars),,-246319,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2021,Balance imports/exports (millions of US dollars),,-294040,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
1,"Total, all countries or areas",2022,Balance imports/exports (millions of US dollars),,-691191,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,1995,Imports CIF (millions of US dollars),,114352,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2005,Imports CIF (millions of US dollars),,246228,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2010,Imports CIF (millions of US dollars),,468435,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2015,Imports CIF (millions of US dollars),,547529,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2020,Imports CIF (millions of US dollars),,498727,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2021,Imports CIF (millions of US dollars),,600406,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2022,Imports CIF (millions of US dollars),,778689,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,1995,Exports FOB (millions of US dollars),,103460,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
