Area code,Area,Year,Series,Tourism arrivals series type,Value,Source
4,Afghanistan,2010,Tourism expenditure (millions of US dollars),,147,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
4,Afghanistan,2019,Tourism expenditure (millions of US dollars),,85,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
4,Afghanistan,2020,Tourism expenditure (millions of US dollars),,75,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2010,Tourist/visitor arrivals (thousands),TF,2191,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2019,Tourist/visitor arrivals (thousands),TF,6128,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2020,Tourist/visitor arrivals (thousands),TF,2604,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2021,Tourist/visitor arrivals (thousands),TF,5515,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,1995,Tourism expenditure (millions of US dollars),,70,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2005,Tourism expenditure (millions of US dollars),,880,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2010,Tourism expenditure (millions of US dollars),,1778,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2019,Tourism expenditure (millions of US dollars),,2458,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2020,Tourism expenditure (millions of US dollars),,1243,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
8,Albania,2021,Tourism expenditure (millions of US dollars),,2480,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
12,Algeria,1995,Tourist/visitor arrivals (thousands),VF,520,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
12,Algeria,2005,Tourist/visitor arrivals (thousands),VF,1443,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
