sub-region,region-code,sub-region-code,SQMI,SQKM
Southern Asia,142,34,2606398.322,6750567.678
Northern Europe,150,154,624503.91556,1617464.1886
Southern Europe,150,39,503015.12202,1302808.3986
Northern Africa,2,15,3191543.30959,8266092.303
Polynesia,9,61,15861.08179,41080.17762
Sub-Saharan Africa,2,202,9224313.81235,23890863.1
Latin America and the Caribbean,19,419,89193.60714,231011.30645
Western Asia,142,145,1774437.00799,4595789.14389
Australia and New Zealand,9,53,3077218.8749,7969992.19159
Western Europe,150,155,423307.25384,1096365.1417
Eastern Europe,150,151,729308.96514,1888909.10709
Northern America,19,21,8292642.5721,21477931.60999
South-eastern Asia,142,35,1719540.09929,4453606.2341
Eastern Asia,142,30,4460525.36799,11552753.898
Melanesia,9,54,201643.97146,522257.57844
Micronesia,9,57,997.02444,2582.29178
Central Asia,142,143,1612211.8378,4175626.2004
