FID,REGION,SQMI,SQKM
1,Antarctica,4754809.4571,12314949.24
2,Asiatic Russia,4987737.42459,12918232.32
3,Australia/New Zealand,3077218.8749,7969992.19159
4,Caribbean,89193.60714,231011.30645
5,Central America,957692.30734,2480421.615
6,Central Asia,1612211.8378,4175626.2004
7,Eastern Africa,2469288.5148,6395453.48639
8,Eastern Asia,4460525.36799,11552753.898
9,Eastern Europe,729308.96514,1888909.10709
10,European Russia,1541719.0891,3993050.089
11,Melanesia,201643.97146,522257.57844
12,Micronesia,997.02444,2582.29178
13,Middle Africa,2544043.5203,6589068.8365
14,Northern Africa,3191543.30959,8266092.303
15,Northern America,8292642.5721,21477931.60999
16,Northern Europe,624503.91556,1617464.1886
17,Polynesia,15861.08179,41080.17762
18,South America,6856255.3355,17757690.859
19,Southeastern Asia,1719540.09929,4453606.2341
20,Southern Africa,1033183.3343,2675943.2598
21,Southern Asia,2606398.322,6750567.678
22,Southern Europe,503015.12202,1302808.3986
23,Western Africa,2345404.0449,6074592.8984
24,Western Asia,1774437.00799,4595789.14389
25,Western Europe,423307.25384,1096365.1417
